Date,Description,Merchant,Category,Amount,Balance
2026-01-02,OPENING BALANCE,,,,18420.50
2026-01-03,WIRE FROM NORTHWIND CO INV-1029,Northwind Co,Consulting Income,12500.00,30920.50
2026-01-04,STRIPE TRANSFER 09/04,Stripe,Payment Processing,-42.99,30877.51
2026-01-04,AWS MARKETPLACE,AWS,Cloud Infrastructure,-842.18,30035.33
2026-01-05,NOTION LABS INC,Notion,Software,-16.00,30019.33
2026-01-05,GITHUB INC PRO,GitHub,Software,-21.00,29998.33
2026-01-06,SLACK TECHNOLOGIES,Slack,Software,-30.00,29968.33
2026-01-06,FIGMA INC PROFESSIONAL,Figma,Software,-15.00,29953.33
2026-01-07,DEPOSIT REMOTE - LAVENDER PROJECTS,Lavender Projects,Consulting Income,4250.00,34203.33
2026-01-08,UBER EATS LUNCH MEETING,Uber Eats,Meals,-48.20,34155.13
2026-01-09,ALPINE COFFEE HOUSE,Alpine Coffee House,Meals,-12.40,34142.73
2026-01-12,ZOOM VIDEO COMMUNICATIONS,Zoom,Software,-149.90,33992.83
2026-01-13,WE WORK MEMBERSHIP MONTHLY,WeWork,Rent,-4200.00,29792.83
2026-01-15,GUSTO PAYROLL JAN1-15,Gusto,Payroll,-12480.45,17312.38
2026-01-15,STRIPE TRANSFER 09/15,Stripe,Payment Processing,-42.99,17269.39
2026-01-15,STRIPE TRANSFER 09/15,Stripe,Payment Processing,-42.99,17226.40
2026-01-16,COMCAST BUSINESS INTERNET,Comcast,Utilities,-189.95,17036.45
2026-01-16,WIRE FROM ACME LABS INV-1031,Acme Labs,Consulting Income,8500.00,25536.45
2026-01-19,ATT WIRELESS BUSINESS,AT&T,Utilities,-186.40,25350.05
2026-01-20,AMAZON.COM*1AB2C3DE WA,Amazon,Office Supplies,-128.42,25221.63
2026-01-20,LINEAR APP SOFTWARE,Linear,Software,-24.00,25197.63
2026-01-22,GOOGLE WORKSPACE BUSINESS,Google Workspace,Software,-72.00,25125.63
2026-01-23,DELTA AIR LINES NYC-SFO,Delta,Travel,-624.30,24501.33
2026-01-23,LYFT RIDE TO AIRPORT,Lyft,Travel,-38.20,24463.13
2026-01-26,HOTEL HOTEL SF,Hotel Hotel,Travel,-1240.00,23223.13
2026-01-29,STRIPE TRANSFER 09/29,Stripe,Payment Processing,-42.99,23180.14
2026-01-30,ANTHROPIC API USAGE,Anthropic,Software,-184.50,22995.64
2026-01-30,GUSTO PAYROLL JAN16-31,Gusto,Payroll,-12480.45,10515.19
2026-01-31,DEPOSIT REMOTE - SUMMITWORKS LLC,SummitWorks LLC,Consulting Income,6800.00,17315.19
2026-02-01,SUMITOMO TRANSFER REVERSAL,,Transfer,4200.00,21515.19
2026-02-02,WE WORK MEMBERSHIP MONTHLY,WeWork,Rent,-4200.00,17315.19
2026-02-03,WIRE FROM NORTHWIND CO INV-1042,Northwind Co,Consulting Income,12500.00,29815.19
2026-02-04,AWS MARKETPLACE,AWS,Cloud Infrastructure,-918.40,28896.79
2026-02-04,STRIPE TRANSFER 09/04,Stripe,Payment Processing,-58.20,28838.59
2026-02-05,NOTION LABS INC,Notion,Software,-16.00,28822.59
2026-02-05,GITHUB INC PRO,GitHub,Software,-21.00,28801.59
2026-02-06,SLACK TECHNOLOGIES,Slack,Software,-30.00,28771.59
2026-02-06,FIGMA INC PROFESSIONAL,Figma,Software,-15.00,28756.59
2026-02-09,SHELL OIL FUEL,Shell,Travel,-48.10,28708.49
2026-02-10,ZOOM VIDEO COMMUNICATIONS,Zoom,Software,-149.90,28558.59
2026-02-13,GUSTO PAYROLL FEB1-15,Gusto,Payroll,-12690.20,15868.39
2026-02-15,STRIPE TRANSFER 09/15,Stripe,Payment Processing,-58.20,15810.19
2026-02-16,COMCAST BUSINESS INTERNET,Comcast,Utilities,-189.95,15620.24
