Title,Note,URL,Comment
"Komugi Bakery, Akasaka, Tokyo","the milk bread one — go early","https://www.google.com/maps/place/?q=35.6749,139.7363",
"Glitch Coffee, Kanda, Tokyo","top of every list, blue hill blend","https://www.google.com/maps/place/?q=35.6916,139.7686","favorite of 2024"
"Toyosu Fish Market, Tokyo","tuna auction at 5am","https://www.google.com/maps/place/?q=35.6464,139.7826",
"Moss Garden, Saiho-ji, Kyoto","reservation only, sutras first","https://www.google.com/maps/place/?q=35.0103,135.6812","Sam said it was magic"
"Konnichi-pan Bakery, Kyoto","perfect curry pan","https://www.google.com/maps/place/?q=35.0117,135.7681",
"Hosoo Gallery, Nishijin, Kyoto","textile gallery in old loom workshop","https://www.google.com/maps/place/?q=35.0327,135.7532",
"Caffè al Bicerin, Turin","four hundred years of bicerin","https://www.google.com/maps/place/?q=45.0747,7.6803",
"Trattoria Ai Cugnai, Venice","little seafood place near Accademia","https://www.google.com/maps/place/?q=45.4314,12.3262","Giulia rec"
"Pasticceria Marchesi, Milan","Galleria — pistachio croissant","https://www.google.com/maps/place/?q=45.4666,9.1898",
"Tartine Manufactory, San Francisco","fennel sausage focaccia","https://www.google.com/maps/place/?q=37.7611,-122.4115",
"Devil's Teeth Baking Co, Outer Sunset, SF","breakfast sandwich, surf after","https://www.google.com/maps/place/?q=37.7588,-122.5046",
"Heath Ceramics, Sausalito","factory tour second saturday","https://www.google.com/maps/place/?q=37.8581,-122.4787",
"Sey Coffee, Bushwick, Brooklyn","light roast cathedral","https://www.google.com/maps/place/?q=40.7090,-73.9276",
"Court Street Grocers, Carroll Gardens","best italian sandwich in nyc","https://www.google.com/maps/place/?q=40.6831,-73.9978",
"The Cloisters, Manhattan","unicorn tapestries","https://www.google.com/maps/place/?q=40.8649,-73.9319",
"Café de Flore, Paris","6th, hot chocolate","https://www.google.com/maps/place/?q=48.8540,2.3328",
"Du Pain et des Idées, Paris","escargot pistachio, mondays only","https://www.google.com/maps/place/?q=48.8714,2.3611","Mira raved about this"
"Atelier Brancusi, Paris","Pompidou plaza, free, weird hours","https://www.google.com/maps/place/?q=48.8606,2.3522",
"Manteigaria, Chiado, Lisbon","still warm pastel de nata","https://www.google.com/maps/place/?q=38.7104,-9.1432",
"Miradouro da Senhora do Monte, Lisbon","best sunset, get there 20m early","https://www.google.com/maps/place/?q=38.7194,-9.1347",
"LX Factory, Alcântara, Lisbon","old printing factory now bookstore + bars","https://www.google.com/maps/place/?q=38.7035,-9.1768",
"Mercado Roma, Mexico City","tacos al pastor third stall on the right","https://www.google.com/maps/place/?q=19.4154,-99.1697",
"Casa Luis Barragán, Mexico City","reserve weeks ahead","https://www.google.com/maps/place/?q=19.4117,-99.2073","architecture pilgrimage"
"Café Tortoise, Roma Norte, CDMX","espresso + concha morning","https://www.google.com/maps/place/?q=19.4181,-99.1690",
"Fika Hagaparken, Stockholm","summer cinnamon bun in the park","https://www.google.com/maps/place/?q=59.3580,18.0519",
"Skansen Open-Air Museum, Stockholm","midsommar dancing","https://www.google.com/maps/place/?q=59.3253,18.1031",
"Reykjavík Roasters, Reykjavik","stop on the way to the airport","https://www.google.com/maps/place/?q=64.1466,-21.9322",
"Cafe Loki, Reykjavik","rye bread ice cream — wild","https://www.google.com/maps/place/?q=64.1419,-21.9407",
"Marrakech Riad El Fenn, Marrakech","staying here in spring","https://www.google.com/maps/place/?q=31.6275,-7.9908","booked for april"
"Le Jardin Secret, Marrakech","quiet courtyard in the medina","https://www.google.com/maps/place/?q=31.6321,-7.9881",
"Biblioteca Vasconcelos, Mexico City","floating library, get a window seat","https://www.google.com/maps/place/?q=19.4497,-99.1517",
"Museum of Old & New Art (Mona), Hobart","ferry from Hobart waterfront","https://www.google.com/maps/place/?q=-42.7864,147.2629","2025 maybe?"
"Bondi Icebergs Pool, Sydney","ocean pool, swim before 9am","https://www.google.com/maps/place/?q=-33.8941,151.2741",
"Mr Wong, Sydney","yum cha lunch, book ahead","https://www.google.com/maps/place/?q=-33.8665,151.2098",
