Identifier,Title,Description,Status,Priority,Assignee,Project,Cycle,Estimate,Labels,Created,Updated,Due Date
PRC-101,Pricing V2 — pricing page IA brief,Define new card layout / order; align with Mira and Sarah on the comparison block.,In Progress,P1,Mira Chen,Pricing V2,Cycle 14,3,"frontend, design",2026-04-12,2026-04-30,2026-05-09
PRC-102,Pricing V2 — backend tier flag plumbing,Wire LaunchDarkly tier flag through billing service; needs migration sequencing.,In Progress,P1,Devon Park,Pricing V2,Cycle 14,5,"backend, infra",2026-04-15,2026-04-29,2026-05-12
PRC-103,Pricing V2 — comparison table copy,Copy pass on the 4-tier comparison table; legal review for "unlimited" claim.,In Review,P2,Sarah Kim,Pricing V2,Cycle 14,2,"copy, legal",2026-04-20,2026-05-04,
PRC-104,Pricing V2 — analytics events for tier views,Add `pricing_tier_viewed` + `pricing_cta_clicked` events to all 4 cards.,Todo,P2,Jordan Tate,Pricing V2,Cycle 14,2,"frontend, analytics",2026-04-23,2026-04-23,
PRC-105,Pricing V2 — annual / monthly toggle,Toggle UI between annual (20% discount) and monthly billing periods.,Todo,P2,Jordan Tate,Pricing V2,Cycle 14,3,"frontend",2026-04-23,2026-04-23,
PRC-106,Pricing V2 — admin override for legacy customers,Grandfathered customers retain their existing tier; admin tool to flag accounts.,Backlog,P3,Devon Park,Pricing V2,,3,"backend, admin",2026-04-25,2026-04-25,
ONB-201,Onboarding — first-run checklist UI,4-item checklist on first login; confetti on completion.,Done,P2,Mira Chen,Onboarding 2.0,Cycle 13,3,"frontend",2026-03-18,2026-04-22,
ONB-202,Onboarding — invite teammates flow,Email-based invites; copy-link option; role selection.,Done,P2,Mira Chen,Onboarding 2.0,Cycle 13,5,"frontend, auth",2026-03-20,2026-04-19,
ONB-203,Onboarding — sample data seeding,Seed 1 sample project + 5 demo cards on signup; one-click "remove sample data".,In Progress,P2,Jordan Tate,Onboarding 2.0,Cycle 14,3,"frontend, backend",2026-04-02,2026-04-28,2026-05-08
ONB-204,Onboarding — empty-state copy refresh,Replace placeholder copy across 8 empty states; align with brand voice.,In Review,P3,Sarah Kim,Onboarding 2.0,Cycle 14,1,"copy",2026-04-12,2026-05-03,
ONB-205,Onboarding — welcome email sequence,3-email sequence: welcome / first-action / week-1 tips. Plumbing through Customer.io.,Blocked,P2,Sarah Kim,Onboarding 2.0,Cycle 14,3,"backend, email",2026-04-08,2026-04-15,2026-05-01
BUG-301,Search filter — selecting label clears search box,Selecting a label chip in search resets the text query — should compose.,In Progress,P1,Devon Park,Polish & Bugs,Cycle 14,1,"frontend, bug",2026-04-26,2026-05-02,
BUG-302,Crash — pricing page on Safari 14,Pricing page throws "ResizeObserver" error on Safari 14; ~3% of users.,Todo,P1,Jordan Tate,Polish & Bugs,Cycle 14,2,"frontend, bug, safari",2026-04-29,2026-04-29,
BUG-303,Onboarding — invite link expires too quickly,Invite link 24h TTL; users report expiry while waiting on teammate response.,Done,P2,Mira Chen,Polish & Bugs,Cycle 13,1,"backend, bug",2026-04-04,2026-04-18,
BUG-304,Email — duplicate welcome email sent on second login,Welcome email sometimes resends if user logs out + back in within 1h.,Backlog,P3,Sarah Kim,Polish & Bugs,,2,"backend, email, bug",2026-04-10,2026-04-10,
BUG-305,Date picker — overflow on iOS Safari,Date picker hits viewport edge on iPhone SE / 12 mini.,In Progress,P2,Jordan Tate,Polish & Bugs,Cycle 14,1,"frontend, bug, mobile",2026-04-27,2026-05-04,
