Trip ID,Request Time (UTC),Begin Trip Time (UTC),Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time (UTC),Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Duration (min),Fare Amount,Tip Amount,Fee Amount,Total Amount,Fare Currency,Trip or Order Status,Product Type,City,Surge Multiplier
SYN-UBR-000001,2024-01-09 08:30:00 +0000 UTC,2024-01-09 08:31:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-09 08:39:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.8,8,8.83,0,2.4,11.23,USD,completed,UberX,San Francisco,
SYN-UBR-000002,2024-01-09 18:03:00 +0000 UTC,2024-01-09 18:03:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-01-09 18:10:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.65,7,8.55,0,2.66,11.21,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000003,2024-01-10 19:09:00 +0000 UTC,2024-01-10 19:10:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-10 19:15:00 +0000 UTC,37.76,-122.43,"Friend's place (synthetic, Castro)",0.72,5,6.29,0,3.06,9.35,USD,completed,UberX,San Francisco,
SYN-UBR-000004,2024-01-11 08:27:00 +0000 UTC,2024-01-11 08:27:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-11 08:37:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.82,10,8.71,0,3.12,11.83,USD,completed,UberX,San Francisco,
SYN-UBR-000005,2024-01-11 18:15:00 +0000 UTC,2024-01-11 18:16:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-01-11 18:23:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.7,7,8.09,0,2.35,10.44,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000006,2024-01-12 23:25:00 +0000 UTC,2024-01-12 23:25:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-12 23:30:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",0.52,5,7.65,0,1.95,9.6,USD,completed,UberX,San Francisco,
SYN-UBR-000007,2024-01-13 02:43:00 +0000 UTC,2024-01-13 02:44:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",2024-01-13 02:48:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.4,4,7.6,2.78,2.86,13.24,USD,completed,UberX,San Francisco,
SYN-UBR-000008,2024-01-16 08:19:00 +0000 UTC,2024-01-16 08:19:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-16 08:24:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.85,5,7.41,0,2.46,9.87,USD,completed,UberX,San Francisco,
SYN-UBR-000009,2024-01-16 18:26:00 +0000 UTC,2024-01-16 18:27:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-01-16 18:36:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.72,9,8.75,0,1.89,10.64,USD,completed,UberX,San Francisco,
SYN-UBR-000010,2024-01-18 08:18:00 +0000 UTC,2024-01-18 08:19:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-18 08:27:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.76,8,7.92,0,2.39,10.31,USD,completed,UberX,San Francisco,
SYN-UBR-000011,2024-01-18 18:39:00 +0000 UTC,2024-01-18 18:40:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-01-18 18:47:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.65,7,7.42,0,2.53,9.95,USD,completed,UberX,San Francisco,
SYN-UBR-000012,2024-01-21 11:52:00 +0000 UTC,2024-01-21 11:53:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-21 11:57:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",0.44,4,6.97,3.41,1.93,12.31,USD,completed,UberX,San Francisco,
SYN-UBR-000013,2024-01-21 13:53:00 +0000 UTC,2024-01-21 13:53:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",2024-01-21 13:57:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.57,4,7.06,1.8,2.37,11.23,USD,completed,UberX,San Francisco,
SYN-UBR-000014,2024-01-23 08:09:00 +0000 UTC,2024-01-23 08:09:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-23 08:15:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.68,6,8.17,0,2.51,10.68,USD,completed,UberX,San Francisco,
