CreateTime,Sender,StrContent,Type,Topic,Emotion,DayType
2024-01-01 08:35:09,Partner B,goodnight,text,sleep,distracted,busy
2024-01-01 12:29:00,Partner A,send me the address again,text,commute,distracted,busy
2024-01-01 12:37:06,Partner B,don't rush,text,food,distracted,busy
2024-01-01 12:39:23,Partner B,tickets are in my email?,text,plans,distracted,busy
2024-01-01 12:44:47,Partner A,wait,text,work,distracted,busy
2024-01-01 20:31:01,Partner A,lol,text,conflict,frustrated,busy
2024-01-01 20:34:06,Partner B,my bad rent went through,text,chores,distracted,busy
2024-01-01 20:43:00,Partner B,got the transfer?,text,money,distracted,busy
2024-01-01 20:54:01,Partner B,rice or noodles,text,food,distracted,busy
2024-01-01 20:59:10,Partner B,eat first,text,repair,repairing,busy
2024-01-01 21:32:08,Partner A,i bought coffee already?,text,food,distracted,busy
2024-01-01 21:40:08,Partner A,tired,text,commute,distracted,busy
2024-01-01 21:44:05,Partner A,i might be late after work?,text,work,distracted,busy
2024-01-01 21:51:22,Partner A,wait,text,plans,distracted,busy
2024-01-01 22:10:05,Partner A,are you sleeping,text,commute,distracted,busy
2024-01-01 22:10:10,Partner B,reservation is 7:30,text,plans,distracted,busy
2024-01-01 22:28:02,Partner A,where are you,text,commute,distracted,busy
2024-01-01 22:28:12,Partner A,traffic is not moving,text,commute,distracted,busy
2024-01-01 22:48:02,Partner A,no because i am drowning in slides?,text,work,distracted,busy
2024-01-01 22:57:26,Partner A,tired,text,sleep,distracted,busy
2024-01-01 23:05:07,Partner A,ah,text,work,distracted,busy
2024-01-01 23:10:10,Partner A,are you sleeping,text,work,distracted,busy
2024-01-01 23:25:01,Partner A,not funny,text,work,distracted,busy
2024-01-01 23:48:05,Partner A,wait can we not do spicy today,text,food,distracted,busy
2024-01-02 08:06:12,Partner B,on my way,text,plans,flat,normal
2024-01-02 08:12:02,Partner A,where are you,text,work,flat,normal
2024-01-02 08:28:08,Partner B,family chat is chaos,text,family,flat,normal
2024-01-02 08:31:09,Partner B,i ordered delivery,text,food,flat,normal
2024-01-02 08:37:00,Partner B,[image],image,food,flat,normal
2024-01-02 08:44:04,Partner B,there is soup at home,text,food,flat,normal
2024-01-02 08:50:07,Partner A,wait,text,plans,flat,normal
2024-01-02 08:54:04,Partner B,later,text,work,flat,normal
2024-01-02 09:05:07,Partner A,pls i want noodles,text,food,flat,normal
2024-01-02 09:10:12,Partner A,i need to complain for five minutes,text,work,flat,normal
2024-01-02 09:13:28,Partner B,i'll call after shower,text,sleep,flat,normal
2024-01-02 09:19:09,Partner A,nooo,text,food,flat,normal
2024-01-02 09:22:09,Partner B,budget says no more takeout,text,money,flat,normal
2024-01-02 12:06:47,Partner A,arrived,text,food,flat,normal
2024-01-02 12:18:01,Partner A,i paid the electricity bill?,text,chores,flat,normal
2024-01-02 12:21:18,Partner A,ah,text,commute,flat,normal
2024-01-02 12:22:35,Partner B,let's do the later show,text,plans,flat,normal
2024-01-02 12:33:03,Partner B,don't get another iced drink?,text,food,flat,normal
2024-01-02 12:36:10,Partner B,heading out i saved you some,text,food,flat,normal
2024-01-02 12:54:06,Partner B,i'll check the weather,text,plans,flat,normal
2024-01-02 12:58:06,Partner A,lol,text,work,flat,normal
2024-01-02 13:09:05,Partner A,we need paper towels,text,chores,flat,normal
2024-01-02 13:16:12,Partner A,traffic is not moving?,text,commute,flat,normal
2024-01-02 13:23:00,Partner A,come here?,text,affection,warm,normal
2024-01-02 13:24:10,Partner A,lol,text,commute,flat,normal
2024-01-02 18:01:04,Partner B,alarm set,text,sleep,flat,normal
2024-01-02 18:18:12,Partner A,i am drowning in slides,text,work,flat,normal
2024-01-02 18:19:02,Partner B,laptop is about to die so i'll call later,text,work,flat,normal
2024-01-02 18:33:05,Partner B,"i'll reply after standup, not ignoring you",text,work,flat,normal
2024-01-02 18:39:05,Partner A,look,text,money,flat,normal
2024-01-02 18:44:12,Partner A,pls i might be late after work,text,work,flat,normal
2024-01-02 18:58:12,Partner B,i saved you some?,text,food,flat,normal
2024-01-02 19:03:11,Partner A,movie or dinner first?,text,plans,flat,normal
2024-01-02 19:04:08,Partner A,i don't want to guess,text,conflict,frustrated,normal
2024-01-02 19:11:08,Partner A,presentation is finally done,text,work,flat,normal
2024-01-02 19:15:07,Partner B,"i'll reply after standup, not ignoring you",text,work,flat,normal
2024-01-02 19:43:15,Partner B,on my way,text,work,flat,normal
2024-01-02 19:48:12,Partner B,one sec,text,plans,flat,normal
2024-01-02 19:49:07,Partner B,miss you too?,text,affection,warm,normal
2024-01-02 19:55:00,Partner B,bug is fixed but i need to watch it,text,work,flat,normal
2024-01-02 19:55:07,Partner A,i bought coffee already,text,food,flat,normal
2024-01-02 19:57:07,Partner B,"my bad i'll reply after standup, not ignoring you",text,work,flat,normal
